VehId,Trip,Timestamp(s),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],elevation[m]
560,339,0,42.27434611,-83.67426167,40,245
560,339,0.2,42.27434611,-83.67426167,40,245
560,339,0.7,42.27434611,-83.67426167,37,245
560,339,1,42.27434611,-83.67426167,37,245
560,339,1.3,42.27434611,-83.67426167,37,245
560,339,1.4,42.27434611,-83.67426167,37,245
560,339,1.8,42.27434611,-83.67426167,36,245
560,339,2.3,42.27434611,-83.67426167,36,245
560,339,2.8,42.27434611,-83.67426167,37,245
560,339,3,42.27439333,-83.67461667,37,245
560,339,3.4,42.27439333,-83.67461667,37,245
560,339,3.8,42.27439333,-83.67461667,40,245
560,339,4.4,42.27439333,-83.67461667,40,245
560,339,4.9,42.27439333,-83.67461667,45,245
560,339,5.4,42.27439333,-83.67461667,45,245
560,339,5.8,42.27439333,-83.67461667,45,245
560,339,5.9,42.27439333,-83.67461667,48,245
560,339,6.1,42.27434083,-83.67506639,48,246
560,339,6.5,42.27434083,-83.67506639,48,246
560,339,7,42.27434083,-83.67506639,51,246
560,339,7.5,42.27434083,-83.67506639,51,246
560,339,7.8,42.27434083,-83.67506639,51,246
560,339,8,42.27434083,-83.67506639,50,246
560,339,8.6,42.27434083,-83.67506639,50,246
560,339,9,42.27434611,-83.67556556,49,245
560,339,9.6,42.27434611,-83.67556556,49,245
560,339,9.8,42.27434611,-83.67556556,49,245
560,339,10.1,42.27434611,-83.67556556,50,245
560,339,10.6,42.27434611,-83.67556556,50,245
560,339,11.5,42.27434611,-83.67556556,50,245
560,339,11.7,42.27434611,-83.67556556,50,245
560,339,11.8,42.27434611,-83.67556556,50,245
560,339,12.1,42.27436528,-83.67608111,50,244
560,339,12.2,42.27436528,-83.67608111,51,244
560,339,12.7,42.27436528,-83.67608111,51,244
560,339,13.8,42.27436528,-83.67608111,51,244
560,339,14.8,42.27436528,-83.67608111,51,244
560,339,15.1,42.27438306,-83.67659472,51,243
560,339,15.3,42.27438306,-83.67659472,50,243
560,339,15.8,42.27438306,-83.67659472,50,243
560,339,16.3,42.27438306,-83.67659472,48,243
560,339,16.6,42.27438306,-83.67659472,48,243
560,339,16.9,42.27438306,-83.67659472,48,243
560,339,17.8,42.27438306,-83.67659472,48,243
560,339,17.9,42.27438306,-83.67659472,48,243
560,339,18,42.27439611,-83.67706806,48,243
560,339,18.4,42.27439611,-83.67706806,45,243
560,339,19,42.27439611,-83.67706806,45,243
560,339,19.4,42.27439611,-83.67706806,43,243
560,339,19.8,42.27439611,-83.67706806,43,243
560,339,20,42.27439611,-83.67706806,43,243
560,339,20.5,42.27439611,-83.67706806,41,243
560,339,21,42.27441222,-83.67748417,41,242
560,339,21.5,42.27441222,-83.67748417,39,242
560,339,21.6,42.27441222,-83.67748417,39,242
560,339,21.9,42.27441222,-83.67748417,39,242
560,339,22.1,42.27441222,-83.67748417,39,242
560,339,22.6,42.27441222,-83.67748417,38,242
560,339,23.2,42.27441222,-83.67748417,38,242
560,339,23.7,42.27441222,-83.67748417,36,242
560,339,23.9,42.27441222,-83.67748417,36,242
560,339,24.1,42.27445139,-83.67785194,36,244
560,339,24.3,42.27445139,-83.67785194,36,244
560,339,25.4,42.27445139,-83.67785194,36,244
560,339,25.8,42.27445139,-83.67785194,35,244
560,339,25.9,42.27445139,-83.67785194,35,244
560,339,26.4,42.27445139,-83.67785194,35,244
560,339,26.6,42.27445139,-83.67785194,35,244
560,339,27,42.27455111,-83.67818417,35,246
560,339,27.4,42.27455111,-83.67818417,35,246
560,339,27.8,42.27455111,-83.67818417,34,246
560,339,27.9,42.27455111,-83.67818417,34,246
560,339,28.5,42.27455111,-83.67818417,34,246
560,339,28.9,42.27455111,-83.67818417,33,246
560,339,29.5,42.27455111,-83.67818417,33,246
560,339,29.9,42.27455111,-83.67818417,34,246
560,339,30,42.27455111,-83.67847861,34,247
560,339,30.6,42.27455111,-83.67847861,34,247
560,339,31,42.27455111,-83.67847861,36,247
560,339,31.6,42.27455111,-83.67847861,36,247
560,339,31.7,42.27455111,-83.67847861,36,247
560,339,31.9,42.27455111,-83.67847861,36,247
560,339,32,42.27455111,-83.67847861,38,247
560,339,32.6,42.27455111,-83.67847861,38,247
560,339,33,42.27450194,-83.67886972,42,248
560,339,33.7,42.27450194,-83.67886972,42,248
560,339,33.9,42.27450194,-83.67886972,42,248
560,339,34.1,42.27450194,-83.67886972,45,248
560,339,34.7,42.27450194,-83.67886972,45,248
560,339,35.1,42.27450194,-83.67886972,46,248
560,339,35.7,42.27450194,-83.67886972,46,248
560,339,35.8,42.27450194,-83.67886972,46,248
560,339,35.9,42.27450194,-83.67886972,46,248
560,339,36.1,42.27450028,-83.67934111,46,247
560,339,36.2,42.27450028,-83.67934111,47,247
560,339,36.7,42.27450028,-83.67934111,47,247
560,339,36.8,42.27450028,-83.67934111,47,247
560,339,37.9,42.27450028,-83.67934111,47,247
560,339,38.9,42.27450028,-83.67934111,47,247
560,339,39.1,42.27450667,-83.67981528,47,248
560,339,39.9,42.27450667,-83.67981528,47,248
560,339,40.3,42.27450667,-83.67981528,46,248
560,339,41,42.27450667,-83.67981528,46,248
560,339,41.8,42.27450667,-83.67981528,46,248
560,339,42,42.274515,-83.68028389,46,250
560,339,42.4,42.274515,-83.68028389,45,250
560,339,43,42.274515,-83.68028389,45,250
560,339,43.9,42.274515,-83.68028389,45,250
560,339,44.1,42.274515,-83.68028389,45,250
560,339,45,42.27452833,-83.68074083,45,250
560,339,45.1,42.27452833,-83.68074083,45,250
560,339,45.9,42.27452833,-83.68074083,45,250
560,339,46.2,42.27452833,-83.68074083,45,250
560,339,46.6,42.27452833,-83.68074083,44,250
560,339,46.8,42.27452833,-83.68074083,44,250
560,339,47.2,42.27452833,-83.68074083,44,250
560,339,47.6,42.27452833,-83.68074083,43,250
560,339,47.9,42.27452833,-83.68074083,43,250
560,339,48.1,42.27456083,-83.68119583,43,251
560,339,48.2,42.27456083,-83.68119583,43,251
560,339,48.6,42.27456083,-83.68119583,42,251
560,339,49.3,42.27456083,-83.68119583,42,251
560,339,49.7,42.27456083,-83.68119583,40,251
560,339,49.9,42.27456083,-83.68119583,40,251
560,339,50.3,42.27456083,-83.68119583,40,251
560,339,50.7,42.27456083,-83.68119583,37,251
560,339,51,42.27457694,-83.68157667,37,251
560,339,51.4,42.27457694,-83.68157667,37,251
560,339,51.8,42.27457694,-83.68157667,32,251
560,339,51.9,42.27457694,-83.68157667,32,251
560,339,52.4,42.27457694,-83.68157667,32,251
560,339,52.8,42.27457694,-83.68157667,27,251
560,339,53.4,42.27457694,-83.68157667,27,251
560,339,53.8,42.27457694,-83.68157667,26,251
560,339,53.9,42.27457694,-83.68157667,26,251
560,339,54,42.27464111,-83.68184861,26,251
560,339,54.5,42.27464111,-83.68184861,26,251
560,339,55.5,42.27464111,-83.68184861,26,251
560,339,56,42.27464111,-83.68184861,25,251
560,339,56.6,42.27464111,-83.68184861,25,251
560,339,56.9,42.27464111,-83.68184861,25,251
560,339,57,42.27473333,-83.6820775,25,251
560,339,57.6,42.27473333,-83.6820775,25,251
560,339,58,42.27473333,-83.6820775,25,251
560,339,58.7,42.27473333,-83.6820775,25,251
560,339,59.2,42.27473333,-83.6820775,26,251
560,339,59.8,42.27473333,-83.6820775,26,251
560,339,60,42.27472028,-83.68235417,26,251
560,339,60.2,42.27472028,-83.68235417,28,251
560,339,60.8,42.27472028,-83.68235417,28,251
560,339,61.3,42.27472028,-83.68235417,33,251
560,339,61.8,42.27472028,-83.68235417,33,251
560,339,62,42.27472028,-83.68235417,33,251
560,339,62.3,42.27472028,-83.68235417,37,251
560,339,62.9,42.27472028,-83.68235417,37,251
560,339,63.4,42.27472028,-83.68235417,40,251
560,339,63.9,42.27472028,-83.68235417,40,251
560,339,64,42.27481667,-83.68287194,40,247
560,339,64.4,42.27481667,-83.68287194,44,247
560,339,65,42.27481667,-83.68287194,44,247
560,339,65.4,42.27481667,-83.68287194,48,247
560,339,66,42.27481667,-83.68287194,48,247
560,339,66.5,42.27481667,-83.68287194,50,247
560,339,67,42.2749425,-83.68333806,50,247
560,339,67.5,42.2749425,-83.68333806,52,247
560,339,68,42.2749425,-83.68333806,52,247
560,339,68.1,42.2749425,-83.68333806,52,247
560,339,68.6,42.2749425,-83.68333806,53,247
560,339,69.1,42.2749425,-83.68333806,53,247
560,339,69.6,42.2749425,-83.68333806,54,247
560,339,70,42.2749425,-83.68333806,54,247
560,339,70.1,42.27508667,-83.68385139,54,250
560,339,70.2,42.27508667,-83.68385139,54,250
560,339,70.6,42.27508667,-83.68385139,55,250
560,339,71.2,42.27508667,-83.68385139,55,250
560,339,72,42.27508667,-83.68385139,55,250
560,339,72.2,42.27508667,-83.68385139,55,250
560,339,73.1,42.27522944,-83.68438333,55,250
560,339,73.3,42.27522944,-83.68438333,55,250
560,339,73.8,42.27522944,-83.68438333,56,250
560,339,74,42.27522944,-83.68438333,56,250
560,339,74.3,42.27522944,-83.68438333,56,250
560,339,75.4,42.27522944,-83.68438333,56,250
560,339,76,42.27537528,-83.68491333,56,253
560,339,76.4,42.27537528,-83.68491333,56,253
560,339,77,42.27537528,-83.68491333,56,253
560,339,77.4,42.27537528,-83.68491333,56,253
560,339,78,42.27537528,-83.68491333,56,253
560,339,78.5,42.27537528,-83.68491333,56,253
560,339,79,42.27552472,-83.68544889,56,250
560,339,79.5,42.27552472,-83.68544889,56,250
560,339,80,42.27552472,-83.68544889,56,250
560,339,80.6,42.27552472,-83.68544889,56,250
560,339,81,42.27552472,-83.68544889,57,250
560,339,81.6,42.27552472,-83.68544889,57,250
560,339,82,42.27552472,-83.68544889,57,250
560,339,82.1,42.27566528,-83.68599083,57,250
560,339,82.6,42.27566528,-83.68599083,57,250
560,339,83.1,42.27566528,-83.68599083,58,250
560,339,83.7,42.27566528,-83.68599083,58,250
560,339,84,42.27566528,-83.68599083,58,250
560,339,84.7,42.27566528,-83.68599083,58,250
560,339,85.1,42.27581833,-83.68654944,58,249
560,339,85.8,42.27581833,-83.68654944,58,249
560,339,86,42.27581833,-83.68654944,58,249
560,339,86.8,42.27581833,-83.68654944,58,249
560,339,87.1,42.27581833,-83.68654944,58,249
560,339,87.8,42.27581833,-83.68654944,58,249
560,339,88,42.27596639,-83.68710611,58,249
560,339,88.9,42.27596639,-83.68710611,58,249
560,339,89.9,42.27596639,-83.68710611,58,249
560,339,90,42.27596639,-83.68710611,58,249
560,339,91,42.27596639,-83.68710611,58,249
560,339,91.2,42.276115,-83.68765861,58,253
560,339,91.5,42.276115,-83.68765861,56,253
560,339,92.1,42.276115,-83.68765861,56,253
560,339,93.1,42.276115,-83.68765861,56,253
560,339,93.6,42.276115,-83.68765861,55,253
560,339,94,42.27624806,-83.68819444,55,252
560,339,94.1,42.27624806,-83.68819444,55,252
560,339,94.2,42.27624806,-83.68819444,55,252
560,339,95.2,42.27624806,-83.68819444,55,252
560,339,95.7,42.27624806,-83.68819444,55,252
560,339,96.1,42.27624806,-83.68819444,55,252
560,339,96.2,42.27624806,-83.68819444,55,252
560,339,97.1,42.27637111,-83.68873889,55,251
560,339,97.2,42.27637111,-83.68873889,55,251
560,339,97.3,42.27637111,-83.68873889,55,251
560,339,97.8,42.27637111,-83.68873889,54,251
560,339,98.1,42.27637111,-83.68873889,54,251
560,339,98.3,42.27637111,-83.68873889,54,251
560,339,100.1,42.27648472,-83.68927611,54,251
560,339,100.4,42.27648472,-83.68927611,54,251
560,339,101.4,42.27648472,-83.68927611,54,251
560,339,102.1,42.27648472,-83.68927611,54,251
560,339,102.2,42.27648472,-83.68927611,54,251
560,339,102.5,42.27648472,-83.68927611,54,251
560,339,103,42.2765825,-83.689815,54,254
560,339,103.5,42.2765825,-83.689815,54,254
560,339,104.1,42.2765825,-83.689815,54,254
560,339,104.6,42.2765825,-83.689815,54,254
560,339,105,42.2765825,-83.689815,55,254
560,339,105.6,42.2765825,-83.689815,55,254
560,339,106.1,42.27664944,-83.69036917,55,256
560,339,106.6,42.27664944,-83.69036917,55,256
560,339,107.3,42.27664944,-83.69036917,55,256
560,339,108.1,42.27664944,-83.69036917,55,256
560,339,108.7,42.27664944,-83.69036917,55,256
560,339,109.1,42.27669028,-83.6909275,55,254
560,339,109.2,42.27669028,-83.6909275,56,254
560,339,109.8,42.27669028,-83.6909275,56,254
560,339,110.1,42.27669028,-83.6909275,56,254
560,339,110.8,42.27669028,-83.6909275,56,254
560,339,111.3,42.27669028,-83.6909275,57,254
560,339,111.8,42.27669028,-83.6909275,57,254
560,339,112,42.27670444,-83.69149722,57,249
560,339,112.1,42.27670444,-83.69149722,57,249
560,339,112.3,42.27670444,-83.69149722,57,249
560,339,112.9,42.27670444,-83.69149722,57,249
560,339,113.9,42.27670444,-83.69149722,57,249
560,339,114.1,42.27670444,-83.69149722,57,249
560,339,115,42.27671194,-83.69208083,57,241
560,339,116,42.27671194,-83.69208083,57,241
560,339,116.1,42.27671194,-83.69208083,57,241
560,339,117,42.27671194,-83.69208083,57,241
560,339,118,42.27673528,-83.69265944,57,236
560,339,118.1,42.27673528,-83.69265944,57,236
560,339,119.1,42.27673528,-83.69265944,57,236
560,339,120.1,42.27673528,-83.69265944,57,236
560,339,120.2,42.27673528,-83.69265944,57,236
560,339,121,42.2767825,-83.69324333,57,235
560,339,122.1,42.2767825,-83.69324333,57,235
560,339,122.2,42.2767825,-83.69324333,57,235
560,339,123.3,42.2767825,-83.69324333,57,235
560,339,124.1,42.2768425,-83.693825,57,235
560,339,124.4,42.2768425,-83.693825,57,235
560,339,125.4,42.2768425,-83.693825,57,235
560,339,125.9,42.2768425,-83.693825,56,235
560,339,126.2,42.2768425,-83.693825,56,235
560,339,126.5,42.2768425,-83.693825,56,235
560,339,127,42.27691972,-83.69439639,57,237
560,339,127.4,42.27691972,-83.69439639,57,237
560,339,127.5,42.27691972,-83.69439639,57,237
560,339,128.2,42.27691972,-83.69439639,57,237
560,339,128.6,42.27691972,-83.69439639,57,237
560,339,129.6,42.27691972,-83.69439639,57,237
560,339,130.1,42.27700917,-83.69496361,56,233
560,339,130.2,42.27700917,-83.69496361,56,233
560,339,130.6,42.27700917,-83.69496361,56,233
560,339,131.1,42.27700917,-83.69496361,55,233
560,339,131.7,42.27700917,-83.69496361,55,233
560,339,132.2,42.27700917,-83.69496361,54,233
560,339,132.5,42.27700917,-83.69496361,54,233
560,339,132.7,42.27700917,-83.69496361,54,233
560,339,133.1,42.27709417,-83.69550694,54,231
560,339,133.2,42.27709417,-83.69550694,53,231
560,339,133.8,42.27709417,-83.69550694,53,231
560,339,134.2,42.27709417,-83.69550694,52,231
560,339,134.8,42.27709417,-83.69550694,52,231
560,339,135.3,42.27709417,-83.69550694,51,231
560,339,135.8,42.27709417,-83.69550694,51,231
560,339,136,42.27717278,-83.69601972,51,231
560,339,136.2,42.27717278,-83.69601972,51,231
560,339,136.3,42.27717278,-83.69601972,50,231
560,339,136.9,42.27717278,-83.69601972,50,231
560,339,137.4,42.27717278,-83.69601972,49,231
560,339,137.5,42.27717278,-83.69601972,49,231
560,339,137.9,42.27717278,-83.69601972,49,231
560,339,138.2,42.27717278,-83.69601972,49,231
560,339,138.4,42.27717278,-83.69601972,50,231
560,339,139,42.27717278,-83.69601972,50,231
560,339,139.4,42.27717278,-83.69601972,53,231
560,339,140,42.27728028,-83.69671778,53,232
560,339,140.2,42.27728028,-83.69671778,53,232
560,339,140.5,42.27728028,-83.69671778,55,232
560,339,141,42.27728028,-83.69671778,55,232
560,339,141.5,42.27728028,-83.69671778,56,232
560,339,142.1,42.27728028,-83.69671778,56,232
560,339,142.2,42.27728028,-83.69671778,56,232
560,339,142.6,42.27728028,-83.69671778,56,232
560,339,143,42.27737056,-83.69727556,56,233
560,339,143.1,42.27737056,-83.69727556,56,233
560,339,144.2,42.27737056,-83.69727556,56,233
560,339,144.6,42.27737056,-83.69727556,55,233
560,339,145.2,42.27737056,-83.69727556,55,233
560,339,146.1,42.27745528,-83.69782667,55,231
560,339,146.2,42.27745528,-83.69782667,55,231
560,339,146.7,42.27745528,-83.69782667,54,231
560,339,147.3,42.27745528,-83.69782667,54,231
560,339,148.2,42.27745528,-83.69782667,54,231
560,339,148.3,42.27745528,-83.69782667,54,231
560,339,148.8,42.27745528,-83.69782667,53,231
560,339,149.1,42.27754167,-83.69835944,53,231
560,339,149.4,42.27754167,-83.69835944,53,231
560,339,150.2,42.27754167,-83.69835944,53,231
560,339,150.4,42.27754167,-83.69835944,53,231
560,339,151.4,42.27754167,-83.69835944,53,231
560,339,151.9,42.27754167,-83.69835944,52,231
560,339,152,42.27762667,-83.69887917,52,232
560,339,152.2,42.27762667,-83.69887917,52,232
560,339,152.5,42.27762667,-83.69887917,52,232
560,339,152.6,42.27762667,-83.69887917,52,232
560,339,153.5,42.27762667,-83.69887917,52,232
560,339,154,42.27762667,-83.69887917,51,232
560,339,154.2,42.27762667,-83.69887917,51,232
560,339,154.6,42.27762667,-83.69887917,51,232
560,339,155,42.27771306,-83.6993925,51,232
560,339,155.6,42.27771306,-83.6993925,51,232
560,339,155.7,42.27771306,-83.6993925,51,232
560,339,156.2,42.27771306,-83.6993925,51,232
560,339,156.6,42.27771306,-83.6993925,51,232
560,339,157.1,42.27771306,-83.6993925,50,232
560,339,157.7,42.27771306,-83.6993925,50,232
560,339,158,42.27778833,-83.69989778,50,234
560,339,158.2,42.27778833,-83.69989778,50,234
560,339,158.8,42.27778833,-83.69989778,50,234
560,339,159.3,42.27778833,-83.69989778,49,234
560,339,159.9,42.27778833,-83.69989778,49,234
560,339,160.2,42.27778833,-83.69989778,49,234
560,339,160.9,42.27778833,-83.69989778,49,234
560,339,161.1,42.27786556,-83.70039306,49,235
560,339,161.9,42.27786556,-83.70039306,49,235
560,339,162.2,42.27786556,-83.70039306,49,235
560,339,162.4,42.27786556,-83.70039306,48,235
560,339,162.7,42.27786556,-83.70039306,48,235
560,339,163,42.27786556,-83.70039306,48,235
560,339,164,42.27786556,-83.70039306,48,235
560,339,164.1,42.27800389,-83.70085222,48,235
560,339,164.2,42.27800389,-83.70085222,48,235
560,339,164.5,42.27800389,-83.70085222,47,235
560,339,165,42.27800389,-83.70085222,47,235
560,339,165.5,42.27800389,-83.70085222,48,235
560,339,166.1,42.27800389,-83.70085222,48,235
560,339,166.2,42.27800389,-83.70085222,48,235
560,339,167,42.27820417,-83.70127111,48,233
560,339,167.1,42.27820417,-83.70127111,48,233
560,339,167.6,42.27820417,-83.70127111,49,233
560,339,167.8,42.27820417,-83.70127111,49,233
560,339,168.2,42.27820417,-83.70127111,49,233
560,339,169.2,42.27820417,-83.70127111,49,233
560,339,169.7,42.27820417,-83.70127111,50,233
560,339,170,42.27841694,-83.70169028,50,232
560,339,170.2,42.27841694,-83.70169028,50,232
560,339,171.3,42.27841694,-83.70169028,50,232
560,339,171.8,42.27841694,-83.70169028,51,232
560,339,172.2,42.27841694,-83.70169028,51,232
560,339,172.3,42.27841694,-83.70169028,51,232
560,339,172.8,42.27841694,-83.70169028,52,232
560,339,173.1,42.27863556,-83.70212111,52,232
560,339,173.4,42.27863556,-83.70212111,52,232
560,339,173.8,42.27863556,-83.70212111,53,232
560,339,174.2,42.27863556,-83.70212111,53,232
560,339,174.4,42.27863556,-83.70212111,53,232
560,339,175.4,42.27863556,-83.70212111,53,232
560,339,175.9,42.27863556,-83.70212111,55,232
560,339,176,42.27886417,-83.70257889,55,232
560,339,176.2,42.27886417,-83.70257889,55,232
560,339,176.5,42.27886417,-83.70257889,55,232
560,339,177,42.27886417,-83.70257889,56,232
560,339,177.5,42.27886417,-83.70257889,56,232
560,339,177.8,42.27886417,-83.70257889,56,232
560,339,178,42.27886417,-83.70257889,57,232
560,339,178.2,42.27886417,-83.70257889,57,232
560,339,178.6,42.27886417,-83.70257889,57,232
560,339,179,42.27911111,-83.70304778,57,230
560,339,179.6,42.27911111,-83.70304778,57,230
560,339,180.2,42.27911111,-83.70304778,57,230
560,339,180.6,42.27911111,-83.70304778,57,230
560,339,181,42.27911111,-83.70304778,57,230
560,339,181.7,42.27911111,-83.70304778,57,230
560,339,182,42.27935917,-83.70353083,57,231
560,339,182.2,42.27935917,-83.70353083,58,231
560,339,182.7,42.27935917,-83.70353083,58,231
560,339,182.9,42.27935917,-83.70353083,58,231
560,339,183.8,42.27935917,-83.70353083,58,231
560,339,184.2,42.27935917,-83.70353083,59,231
560,339,185.1,42.27962306,-83.70403694,59,231
560,339,185.3,42.27962306,-83.70403694,60,231
560,339,185.8,42.27962306,-83.70403694,60,231
560,339,186.2,42.27962306,-83.70403694,60,231
560,339,186.3,42.27962306,-83.70403694,61,231
560,339,186.9,42.27962306,-83.70403694,61,231
560,339,187.9,42.27962306,-83.70403694,61,231
560,339,188.1,42.27989167,-83.70454194,61,231
560,339,188.2,42.27989167,-83.70454194,61,231
560,339,188.4,42.27989167,-83.70454194,62,231
560,339,189,42.27989167,-83.70454194,62,231
560,339,190,42.27989167,-83.70454194,62,231
560,339,190.2,42.27989167,-83.70454194,62,231
560,339,190.5,42.27989167,-83.70454194,61,231
560,339,191.1,42.27989167,-83.70454194,61,231
560,339,191.2,42.28016361,-83.70506333,61,231
560,339,192.2,42.28016361,-83.70506333,61,231
560,339,192.3,42.28016361,-83.70506333,61,231
560,339,192.6,42.28016361,-83.70506333,60,231
560,339,193,42.28016361,-83.70506333,60,231
560,339,193.2,42.28016361,-83.70506333,60,231
560,339,193.7,42.28016361,-83.70506333,58,231
560,339,194.2,42.2804125,-83.70555361,58,230
560,339,194.3,42.2804125,-83.70555361,58,230
560,339,195.4,42.2804125,-83.70555361,58,230
560,339,196.3,42.2804125,-83.70555361,58,230
560,339,196.4,42.2804125,-83.70555361,58,230
560,339,196.8,42.2804125,-83.70555361,57,230
560,339,197.1,42.28066694,-83.70602222,57,229
560,339,197.4,42.28066694,-83.70602222,57,229
560,339,198,42.28066694,-83.70602222,57,229
560,339,198.3,42.28066694,-83.70602222,57,229
560,339,198.5,42.28066694,-83.70602222,57,229
560,339,199.5,42.28066694,-83.70602222,57,229
560,339,200.1,42.2809225,-83.70649278,57,228
560,339,200.3,42.2809225,-83.70649278,57,228
560,339,200.6,42.2809225,-83.70649278,57,228
560,339,201.6,42.2809225,-83.70649278,57,228
560,339,202.3,42.2809225,-83.70649278,57,228
560,339,202.6,42.2809225,-83.70649278,57,228
560,339,203,42.2809225,-83.70649278,56,228
560,339,203.1,42.28117694,-83.7069925,56,229
560,339,203.7,42.28117694,-83.7069925,56,229
560,339,204.1,42.28117694,-83.7069925,57,229
560,339,204.3,42.28117694,-83.7069925,57,229
560,339,204.7,42.28117694,-83.7069925,57,229
560,339,205.8,42.28117694,-83.7069925,57,229
560,339,206.3,42.28117694,-83.7069925,57,229
560,339,206.8,42.28117694,-83.7069925,57,229
560,339,207,42.28149556,-83.70762778,57,231
560,339,207.8,42.28149556,-83.70762778,57,231
560,339,208.1,42.28149556,-83.70762778,57,231
560,339,208.3,42.28149556,-83.70762778,57,231
560,339,208.9,42.28149556,-83.70762778,57,231
560,339,209.3,42.28149556,-83.70762778,58,231
560,339,209.9,42.28149556,-83.70762778,58,231
560,339,210.1,42.28173611,-83.70813111,58,231
560,339,210.3,42.28173611,-83.70813111,58,231
560,339,211,42.28173611,-83.70813111,58,231
560,339,212,42.28173611,-83.70813111,58,231
560,339,212.3,42.28173611,-83.70813111,58,231
560,339,212.4,42.28173611,-83.70813111,59,231
560,339,213,42.28173611,-83.70813111,59,231
560,339,213.1,42.28199778,-83.70858611,59,230
560,339,214.1,42.28199778,-83.70858611,59,230
560,339,214.3,42.28199778,-83.70858611,59,230
560,339,215.1,42.28199778,-83.70858611,59,230
560,339,215.7,42.28199778,-83.70858611,59,230
560,339,216,42.28226556,-83.70904778,59,231
560,339,216.2,42.28226556,-83.70904778,59,231
560,339,216.3,42.28226556,-83.70904778,59,231
560,339,217.2,42.28226556,-83.70904778,59,231
560,339,217.6,42.28226556,-83.70904778,60,231
560,339,218.2,42.28226556,-83.70904778,60,231
560,339,218.3,42.28226556,-83.70904778,60,231
560,339,219.1,42.28255,-83.70952917,60,232
560,339,219.3,42.28255,-83.70952917,60,232
560,339,220.3,42.28255,-83.70952917,60,232
560,339,220.7,42.28255,-83.70952917,59,232
560,339,221.4,42.28255,-83.70952917,59,232
560,339,222,42.28283083,-83.71000444,59,233
560,339,222.3,42.28283083,-83.71000444,59,233
560,339,222.4,42.28283083,-83.71000444,59,233
560,339,222.8,42.28283083,-83.71000444,57,233
560,339,223.2,42.28283083,-83.71000444,57,233
560,339,223.4,42.28283083,-83.71000444,57,233
560,339,223.8,42.28283083,-83.71000444,54,233
560,339,224.3,42.28283083,-83.71000444,54,233
560,339,224.5,42.28283083,-83.71000444,54,233
560,339,224.9,42.28283083,-83.71000444,51,233
560,339,225,42.28311611,-83.71038833,51,236
560,339,225.5,42.28311611,-83.71038833,51,236
560,339,226,42.28311611,-83.71038833,48,236
560,339,226.4,42.28311611,-83.71038833,48,236
560,339,226.6,42.28311611,-83.71038833,48,236
560,339,227.1,42.28311611,-83.71038833,43,236
560,339,227.7,42.28311611,-83.71038833,43,236
560,339,228,42.283375,-83.71064778,43,239
560,339,228.2,42.283375,-83.71064778,39,239
560,339,228.3,42.283375,-83.71064778,39,239
560,339,228.4,42.283375,-83.71064778,39,239
560,339,228.7,42.283375,-83.71064778,39,239
560,339,229.2,42.283375,-83.71064778,33,239
560,339,229.8,42.283375,-83.71064778,33,239
560,339,230.2,42.283375,-83.71064778,26,239
560,339,230.4,42.283375,-83.71064778,26,239
560,339,230.8,42.283375,-83.71064778,26,239
560,339,231,42.28354194,-83.71081361,26,239
560,339,231.3,42.28354194,-83.71081361,21,239
560,339,231.8,42.28354194,-83.71081361,21,239
560,339,232.3,42.28354194,-83.71081361,23,239
560,339,232.4,42.28354194,-83.71081361,23,239
560,339,232.9,42.28354194,-83.71081361,23,239
560,339,233.3,42.28354194,-83.71081361,23,239
560,339,233.4,42.28354194,-83.71081361,27,239
560,339,233.9,42.28354194,-83.71081361,27,239
560,339,234,42.28373028,-83.71094528,27,241
560,339,234.4,42.28373028,-83.71094528,31,241
560,339,235,42.28373028,-83.71094528,31,241
560,339,235.4,42.28373028,-83.71094528,35,241
560,339,236,42.28373028,-83.71094528,35,241
560,339,236.4,42.28373028,-83.71094528,35,241
560,339,236.5,42.28373028,-83.71094528,40,241
560,339,237,42.28373028,-83.71094528,40,241
560,339,237.1,42.28399972,-83.71106694,40,242
560,339,237.5,42.28399972,-83.71106694,42,242
560,339,238.1,42.28399972,-83.71106694,42,242
560,339,238.3,42.28399972,-83.71106694,42,242
560,339,238.4,42.28399972,-83.71106694,42,242
560,339,239.1,42.28399972,-83.71106694,42,242
560,339,239.6,42.28399972,-83.71106694,43,242
560,339,240,42.28429194,-83.71114639,43,242
560,339,240.2,42.28429194,-83.71114639,43,242
560,339,240.4,42.28429194,-83.71114639,43,242
